INFO  | 04/01/2020 04:47:38 PM | File run_exp.py           | Line 26    | Writing log file to exp/GRAN\GRANMixtureBernoulli_transport_2020-Apr-01-16-47-38_13532\log_exp_13532.txt
INFO  | 04/01/2020 04:47:38 PM | File run_exp.py           | Line 27    | Exp instance id = 13532
INFO  | 04/01/2020 04:47:38 PM | File run_exp.py           | Line 28    | Exp comment = None
INFO  | 04/01/2020 04:47:38 PM | File run_exp.py           | Line 29    | Config =
INFO  | 04/01/2020 04:47:38 PM | File gran_runner.py       | Line 124   | Train/val/test = 8/2/2
INFO  | 04/01/2020 04:47:38 PM | File gran_runner.py       | Line 137   | No Edges vs. Edges in training set = 2.0
INFO  | 04/01/2020 04:47:41 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0001 iteration 00000001 = 4.8420939445495605
INFO  | 04/01/2020 04:47:43 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0002 iteration 00000010 = 4.79403018951416
INFO  | 04/01/2020 04:47:44 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0003 iteration 00000020 = 4.744490623474121
INFO  | 04/01/2020 04:47:46 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0004 iteration 00000030 = 4.69325065612793
INFO  | 04/01/2020 04:47:47 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0005 iteration 00000040 = 4.632118225097656
INFO  | 04/01/2020 04:47:49 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0007 iteration 00000050 = 4.561650276184082
INFO  | 04/01/2020 04:47:50 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0008 iteration 00000060 = 4.478838920593262
INFO  | 04/01/2020 04:47:51 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0009 iteration 00000070 = 4.383338928222656
INFO  | 04/01/2020 04:47:53 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0010 iteration 00000080 = 4.274865627288818
INFO  | 04/01/2020 04:47:53 PM | File gran_runner.py       | Line 271   | Saving Snapshot @ epoch 0010
INFO  | 04/01/2020 04:47:54 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0012 iteration 00000090 = 4.152536392211914
INFO  | 04/01/2020 04:47:55 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0013 iteration 00000100 = 4.018988609313965
INFO  | 04/01/2020 04:47:56 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0014 iteration 00000110 = 3.8805222511291504
INFO  | 04/01/2020 04:47:58 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0015 iteration 00000120 = 3.745785713195801
INFO  | 04/01/2020 04:47:59 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0017 iteration 00000130 = 3.623311996459961
INFO  | 04/01/2020 04:48:01 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0018 iteration 00000140 = 3.526519775390625
INFO  | 04/01/2020 04:48:02 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0019 iteration 00000150 = 3.4595961570739746
INFO  | 04/01/2020 04:48:03 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0020 iteration 00000160 = 3.4210405349731445
INFO  | 04/01/2020 04:48:03 PM | File gran_runner.py       | Line 271   | Saving Snapshot @ epoch 0020
INFO  | 04/01/2020 04:48:04 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0022 iteration 00000170 = 3.403416156768799
INFO  | 04/01/2020 04:48:06 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0023 iteration 00000180 = 3.3941545486450195
INFO  | 04/01/2020 04:48:07 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0024 iteration 00000190 = 3.3853397369384766
INFO  | 04/01/2020 04:48:08 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0025 iteration 00000200 = 3.3761210441589355
INFO  | 04/01/2020 04:48:09 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0027 iteration 00000210 = 3.3670547008514404
INFO  | 04/01/2020 04:48:10 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0028 iteration 00000220 = 3.358128309249878
INFO  | 04/01/2020 04:48:12 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0029 iteration 00000230 = 3.3491952419281006
INFO  | 04/01/2020 04:48:13 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0030 iteration 00000240 = 3.340242862701416
INFO  | 04/01/2020 04:48:13 PM | File gran_runner.py       | Line 271   | Saving Snapshot @ epoch 0030
INFO  | 04/01/2020 04:48:14 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0032 iteration 00000250 = 3.331239700317383
INFO  | 04/01/2020 04:48:15 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0033 iteration 00000260 = 3.3220553398132324
INFO  | 04/01/2020 04:48:17 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0034 iteration 00000270 = 3.3128175735473633
INFO  | 04/01/2020 04:48:18 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0035 iteration 00000280 = 3.303670644760132
INFO  | 04/01/2020 04:48:19 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0037 iteration 00000290 = 3.2946441173553467
INFO  | 04/01/2020 04:48:21 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0038 iteration 00000300 = 3.285788059234619
INFO  | 04/01/2020 04:48:22 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0039 iteration 00000310 = 3.27705454826355
INFO  | 04/01/2020 04:48:23 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0040 iteration 00000320 = 3.268533706665039
INFO  | 04/01/2020 04:48:23 PM | File gran_runner.py       | Line 271   | Saving Snapshot @ epoch 0040
INFO  | 04/01/2020 04:48:25 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0042 iteration 00000330 = 3.26033353805542
INFO  | 04/01/2020 04:48:26 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0043 iteration 00000340 = 3.252509117126465
INFO  | 04/01/2020 04:48:27 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0044 iteration 00000350 = 3.2450978755950928
INFO  | 04/01/2020 04:48:29 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0045 iteration 00000360 = 3.2381339073181152
INFO  | 04/01/2020 04:48:30 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0047 iteration 00000370 = 3.2316441535949707
INFO  | 04/01/2020 04:48:31 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0048 iteration 00000380 = 3.225633144378662
INFO  | 04/01/2020 04:48:33 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0049 iteration 00000390 = 3.2200639247894287
INFO  | 04/01/2020 04:48:34 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0050 iteration 00000400 = 3.2150120735168457
INFO  | 04/01/2020 04:48:34 PM | File gran_runner.py       | Line 271   | Saving Snapshot @ epoch 0050
INFO  | 04/01/2020 04:48:36 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0052 iteration 00000410 = 3.2104854583740234
INFO  | 04/01/2020 04:48:37 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0053 iteration 00000420 = 3.2064690589904785
INFO  | 04/01/2020 04:48:39 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0054 iteration 00000430 = 3.2029380798339844
INFO  | 04/01/2020 04:48:40 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0055 iteration 00000440 = 3.199861764907837
INFO  | 04/01/2020 04:48:41 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0057 iteration 00000450 = 3.1972036361694336
INFO  | 04/01/2020 04:48:43 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0058 iteration 00000460 = 3.1949257850646973
INFO  | 04/01/2020 04:48:44 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0059 iteration 00000470 = 3.192991256713867
INFO  | 04/01/2020 04:48:45 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0060 iteration 00000480 = 3.1913580894470215
INFO  | 04/01/2020 04:48:45 PM | File gran_runner.py       | Line 271   | Saving Snapshot @ epoch 0060
INFO  | 04/01/2020 04:48:47 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0062 iteration 00000490 = 3.1899867057800293
INFO  | 04/01/2020 04:48:48 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0063 iteration 00000500 = 3.188840866088867
INFO  | 04/01/2020 04:48:50 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0064 iteration 00000510 = 3.187886953353882
INFO  | 04/01/2020 04:48:51 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0065 iteration 00000520 = 3.187093734741211
INFO  | 04/01/2020 04:48:53 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0067 iteration 00000530 = 3.186436653137207
INFO  | 04/01/2020 04:48:54 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0068 iteration 00000540 = 3.1858925819396973
INFO  | 04/01/2020 04:48:55 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0069 iteration 00000550 = 3.1854422092437744
INFO  | 04/01/2020 04:48:57 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0070 iteration 00000560 = 3.1850690841674805
INFO  | 04/01/2020 04:48:57 PM | File gran_runner.py       | Line 271   | Saving Snapshot @ epoch 0070
INFO  | 04/01/2020 04:48:58 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0072 iteration 00000570 = 3.1847591400146484
INFO  | 04/01/2020 04:49:00 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0073 iteration 00000580 = 3.1845011711120605
INFO  | 04/01/2020 04:49:01 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0074 iteration 00000590 = 3.1842868328094482
INFO  | 04/01/2020 04:49:03 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0075 iteration 00000600 = 3.184107780456543
INFO  | 04/01/2020 04:49:04 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0077 iteration 00000610 = 3.1839568614959717
INFO  | 04/01/2020 04:49:05 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0078 iteration 00000620 = 3.183828592300415
INFO  | 04/01/2020 04:49:07 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0079 iteration 00000630 = 3.1837189197540283
INFO  | 04/01/2020 04:49:08 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0080 iteration 00000640 = 3.183624267578125
INFO  | 04/01/2020 04:49:08 PM | File gran_runner.py       | Line 271   | Saving Snapshot @ epoch 0080
INFO  | 04/01/2020 04:49:10 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0082 iteration 00000650 = 3.1835415363311768
INFO  | 04/01/2020 04:49:11 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0083 iteration 00000660 = 3.183469295501709
INFO  | 04/01/2020 04:49:13 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0084 iteration 00000670 = 3.1834046840667725
INFO  | 04/01/2020 04:49:14 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0085 iteration 00000680 = 3.183347225189209
INFO  | 04/01/2020 04:49:16 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0087 iteration 00000690 = 3.1832947731018066
INFO  | 04/01/2020 04:49:17 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0088 iteration 00000700 = 3.1832468509674072
INFO  | 04/01/2020 04:49:19 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0089 iteration 00000710 = 3.1832034587860107
INFO  | 04/01/2020 04:49:20 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0090 iteration 00000720 = 3.1831626892089844
INFO  | 04/01/2020 04:49:20 PM | File gran_runner.py       | Line 271   | Saving Snapshot @ epoch 0090
INFO  | 04/01/2020 04:49:22 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0092 iteration 00000730 = 3.1831247806549072
INFO  | 04/01/2020 04:49:23 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0093 iteration 00000740 = 3.1830897331237793
INFO  | 04/01/2020 04:49:25 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0094 iteration 00000750 = 3.183056592941284
INFO  | 04/01/2020 04:49:26 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0095 iteration 00000760 = 3.183025360107422
INFO  | 04/01/2020 04:49:27 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0097 iteration 00000770 = 3.1829960346221924
INFO  | 04/01/2020 04:49:29 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0098 iteration 00000780 = 3.1829686164855957
INFO  | 04/01/2020 04:49:30 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0099 iteration 00000790 = 3.1829421520233154
INFO  | 04/01/2020 04:49:32 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0100 iteration 00000800 = 3.182917594909668
INFO  | 04/01/2020 04:49:32 PM | File gran_runner.py       | Line 271   | Saving Snapshot @ epoch 0100
INFO  | 04/01/2020 04:49:34 PM | File gran_runner.py       | Line 267   | NLL Loss @ epoch 0102 iteration 00000810 = 3.182894229888916
