INFO  | 04/09/2020 11:48:51 AM | File run_exp.py           | Line 26    | Writing log file to exp/GRAN\GRANMixtureBernoulli_transport_2020-Apr-09-11-48-51_21340\log_exp_21340.txt
INFO  | 04/09/2020 11:48:51 AM | File run_exp.py           | Line 27    | Exp instance id = 21340
INFO  | 04/09/2020 11:48:51 AM | File run_exp.py           | Line 28    | Exp comment = None
INFO  | 04/09/2020 11:48:51 AM | File run_exp.py           | Line 29    | Config =
INFO  | 04/09/2020 11:48:51 AM | File gran_runner.py       | Line 139   | Train/val/test = 8/2/2
INFO  | 04/09/2020 11:48:51 AM | File gran_runner.py       | Line 152   | No Edges vs. Edges in training set = 2.0
INFO  | 04/09/2020 11:48:54 AM | File gran_runner.py       | Line 333   | Average test time per mini-batch = 0.4946770668029785
INFO  | 04/09/2020 11:48:58 AM | File gran_runner.py       | Line 399   | Validation MMD scores of #nodes/degree/clustering/4orbits/spectral are = 0.5421663520825025/0.4096357058356548/1.5426491578646875/0.0/0.1762327972174491
INFO  | 04/09/2020 11:48:58 AM | File gran_runner.py       | Line 400   | Test MMD scores of #nodes/degree/clustering/4orbits/spectral are = 0.5421663520825025/0.4096357058356548/1.5426491578646875/0.0/0.1762327972174491
